iso,gen,spec-left,spec-right
0.14184269079328005,,0.11966901945979462,0.15091317499114812
0.11122417333628834,1.071513149474868,0.32945586750109385,0.16178744210374177
,0.6388536313218269,0.1050566772659344,0.15499701852194994
0.17762372341779364,,0.12537450598786345,0.1866097492220784
0.1439043259326594,,0.16006653683153504,0.6906885596572379
0.11123834738661413,0.22113436027880778,0.1437052360196896,0.1394167808509988
0.15105749899707138,,0.21084581094816524,0.20222745718757817
0.28650110706413795,0.743524662358614,0.1757865112702248,0.16130384900892045
,,0.09748714814091095,0.18936321179036483
0.18310873134137484,0.6791655679883446,0.1808784657581226,0.13383485770951914
,0.4794076417983803,,
,1.3293059235291935,0.2224154015926919,0.23839027143588348
0.1377778325137518,0.16022605916055055,0.12491290847926163,0.15074864781033323
0.15319008457404057,0.6495039867945716,0.43188711126651347,0.7594742901166945
0.1530419606650215,0.9614207837403919,0.1720279145603493,0.14183589587425804
0.22753231239131388,0.9344682511482485,0.9087477271805002,0.1907120698788342
1.0694098294862484,,0.07433953202782702,0.7511272825472385
0.6644352502102588,0.709450694201777,1.0381665156803144,0.25591407326793075
0.15474933772467353,0.6328297369177786,0.14247616432130303,0.11533538058069798
0.205067477244335,,0.1526481635612674,0.3270971491483686
